,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
704,HR1646,,76.2271,-3.0397,6.05,STAR B5IV,-0.11,,,,-0.53,B
705,HR1647,,77.4354,64.9194,6.41,STAR F6V,0.4,,,,-0.02,F
706,HR1649,Eta1Pic,75.7025,-49.1514,5.38,STAR F2V,0.42,,,,0.01,F
707,HR165,31Del And,9.8321,30.8608,3.27,STAR K3III,1.28,,0.66,,1.48,K
708,HR1650,,78.6483,76.4728,6.37,STAR A0V,-0.02,,,,-0.08,A
709,HR1651,,75.975,-41.745,6.31,STAR F8V,0.53,,,,0.04,F
710,HR1652,Gam1Cae,76.1017,-35.4833,4.55,STAR K3III,1.2,,0.65,,1.2,K
711,HR1653,Gam2Cae,76.1087,-35.7053,6.34,STAR F1III,0.3,,,,0.08,F
712,HR1654,2Eps Lep,76.3654,-22.3711,3.19,STAR K5III,1.46,,0.81,v,1.78,K
713,HR1655,,76.3175,-26.1525,5.73,STAR K2III,1.17,,,,,K
714,HR1656,104    Tau,76.8625,18.645,5.0,STAR G4V,0.65,,,,0.14,G
715,HR1657,66    Eri,76.6904,-4.655,5.12,STAR B9V,-0.06,,-0.1,,-0.17,B
716,HR1658,106    Tau,76.9517,20.4183,5.3,STAR A5V,0.09,,,,0.1,A
717,HR1659,103    Tau,77.0275,24.2653,5.5,STAR B2V,0.06,,,e,-0.57,B
718,HR166,54    Psc,9.8408,21.2506,5.87,STAR K0V,0.85,,0.39,,0.57,K
719,HR1660,105    Tau,76.9812,21.7047,5.89,STAR B2V,0.19,,,,-0.57,B
720,HR1661,,76.6529,-13.1219,6.05,STAR A0V,-0.06,,,,,B
721,HR1662,13    Ori,76.9096,9.4719,6.17,STAR G1IV,0.62,,,,0.1,G
722,HR1663,Eta2Pic,76.2417,-49.5778,5.03,STAR K5III,1.49,,0.91,,1.88,K
723,HR1665,,76.8542,-12.4906,5.97,STAR F7V,0.6,,,,,G
724,HR1666,67Bet Eri,76.9625,-5.0864,2.79,STAR A3III,0.13,,0.08,,0.1,A
725,HR1667,,76.2525,-54.4075,6.27,STAR M2III,1.54,,,,1.9,M
726,HR1668,,77.6787,46.9622,5.68,STAR F5V,0.42,,,,0.02,F
727,HR1669,,77.5788,37.3019,6.02,STAR K3II,0.72,,,,,K
728,HR167,55    Psc,9.9817,21.4383,5.36,STAR K0III,1.16,,,,1.05,K
729,HR1670,,77.4379,28.0306,6.01,STAR A5,0.27,,0.14,,0.04,A
730,HR1671,,77.0842,-8.665,5.78,STAR B8V,-0.06,,,,-0.37,B
731,HR1672,16    Ori,77.3317,9.8294,5.43,STAR A2,0.24,,0.12,,0.16,A
732,HR1673,68    Eri,77.1817,-4.4561,5.12,STAR F2V,0.44,,,,-0.05,F
