name,spectral_type
HR  1756, B0.5V"
HR  1757, B7/8V"
HR  1758, A0V"
HR  1759, B8II"
HR   176, G0VFe-0.9CH-0.4"
HR  1760, A3V"
HR  1761, B7Ib/II"
HR  1762, A0V"
HR  1763, B1V"
HR  1764, B5II/III"
HR  1765, B2IV"
HR  1766, F0/2IV"
HR  1767, F6IV"
HR  1768, B9Vs"
HR  1769, B8II"
HR   177, G9III-IV"
HR  1770, B2IV/V"
HR  1771, G8/K0II/III+A2/3"
HR  1772, B3IVe"
HR  1773, K3III_CN+2"
HR  1774, A2IV"
HR  1775, K1III"
HR  1776, B9III"
HR  1777, hA3VamA1_lB"
HR  1778, B8III"
HR  1779, K2III_CN+1"
HR   178, kA5hF1mF2"
HR  1780, F8V"
HR  1781, B2III"
HR  1782, F7V+F8V"
HR  1783, B2IV"
HR  1784, G8+III"
HR  1785, F6V"
HR  1786, B3V"
HR  1787, G9III-IVBa0.5"
HR  1788, B1V+B2:"
HR  1789, B1Vn"
HR   179, B2V"
HR  1790, B2V"
HR  1791, B7III"
HR  1792, A0V"
HR  1793, M2III"
HR  1794, K2"
HR  1795, A1p"
HR  1796, K0"
HR  1797, K1III"
HR  1798, B2Vn"
HR  1799, K4III"
HR    18, M0/1IIICNVp"
HR   180, G8III"
HR  1800, B9III"
HR  1801, B8/9V"
HR  1802, M1III"
HR  1803, B2V"
HR  1804, B9Ib"
HR  1805, K3IIIFe1"
HR  1806, B8/9V"
HR  1807, B9V"
HR  1808, B5V"
HR  1809, A1IV"
HR   181, B9.5III"
HR  1810, B2.5V"
HR  1811, B2IV"
HR  1812, F5V"
HR  1813, K1III"
HR  1814, B9.5Vn"
HR  1815, K1III"
HR  1816, M1III"
HR  1817, F8V(n)k:"
HR  1818, A0V"
HR  1819, A4V"
HR   182, ~"
HR  1820, B2V"
HR  1821, B9V"
HR  1822, F6III"
HR  1823, K0III"
HR  1824, K0.5IIIbCN0.5"
HR  1825, G9III"
HR  1826, B9V"
HR  1827, A5mA5-F2"
HR  1828, F8V"
HR  1829, G5II-IIIa:"
HR   183, A3VpSrCr_Ksn"
HR  1830, K1-IIIFe-0.5"
HR  1831, K0"
HR  1832, A3Vn"
HR  1833, B2V"
HR  1834, K4III"
HR  1835, A0V"
HR  1836, G8III"
HR  1837, K2/3III"
HR  1838, G8/K0III"
HR  1839, B5IV+B7V"
HR   184, A5V"
HR  1840, B2III"
HR  1841, ~"
HR  1842, B3II/III"
HR  1843, B4Iab"
HR  1844, M0III"
HR  1845, M2Iab-Ib"
HR  1846, B9IIIp:(Hg?)"
HR  1847, B5V"
HR  1848, B3V"
HR  1849, A0V"
HR   185, B9.5V"
HR  1850, A2m"
HR  1851, B2Vsn"
