name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color
HR 1201,,58.2917,17.3269, 5.97,STAR F4V,0.34,,0.17,,0
HR 1202,30    Eri,58.1733,-5.3614, 5.48,STAR B8V,-0.1,,,,-0.41
HR 1203,44Zet Per,58.5329,31.8836, 2.85,STAR B1I,0.12,,0.09,,-0.77
HR 1204,,59.3563,63.0722, 5.03,STAR B9V,-0.09,,-0.08,e,-0.16
HR 1205,,59.2846,61.1089, 5.00,STAR K3I,1.45,,,,1.26
HR 1206,,58.3042,-18.4344, 6.22,STAR,0.88,,,,
HR 1207,,58.9925,47.8714, 5.37,STAR B6V,-0.08,,,,-0.47
HR 1208,Gam Hyi,56.8096,-74.2389, 3.24,STAR M2III,1.62,,1.09,,1.99
HR 1209,,58.8458,31.0458, 6.10,STAR O9,0.29,,,v,-0.82
HR 121,13    Cas,7.8554,66.5194, 6.18,STAR B6V,-0.1,,,,-0.47
HR 1210,43    Per,59.1521,50.6953, 5.28,STAR F5IV,0.41,,,,0
HR 1211,32    Eri,58.5725,-2.9528, 6.14,STAR A2V,0.09,,,,0.07
HR 1212,32    Eri,58.5729,-2.9547, 4.79,STAR G8III,0.94,,0.4,,0.69
HR 1213,33Tau8Eri,58.4275,-24.6125, 4.65,STAR B6V,-0.13,,-0.14,,-0.48
HR 1214,,58.4121,-34.7322, 5.11,STAR B6V,-0.13,,,,
HR 1215,,59.1196,35.0811, 5.49,STAR B1V,-0.03,,,,-0.75
HR 1216,,58.3887,-46.8936, 5.93,STAR K2III,1.24,C,0.56,,1.35
HR 1217,,58.8179,-12.0992, 6.00,STAR A5,0.32,,,v,0.03
HR 1218,32    Tau,59.2171,22.4781, 5.63,STAR F2IV,0.3,,,,-0.02
HR 1219,,58.5967,-40.3572, 5.71,STAR K0III,0.6,,,,
HR 122,,7.8567,33.5817, 5.87,STAR K1III,1.14,,,,
HR 1220,45Eps Per,59.4633,40.0103, 2.89,STAR B0V,-0.18,,-0.18,,-0.99
HR 1221,33    Tau,59.2658,23.1756, 6.06,STAR B9IV,0.02,,,,-0.01
HR 1222,,59.36,24.4619, 6.16,STAR K0,1.37,,,,
HR 1223,,59.5129,34.8144, 6.53,STAR A8V,0.23,,,,
HR 1224,,59.2571,6.04, 6.09,STAR A2V,0.06,,,,0.05
HR 1225,,59.1579,-9.7508, 6.19,STAR F1V,0.28,,,,0.14
HR 1226,,59.6213,38.8403, 6.30,STAR,1.08,,,,0.98
HR 1227,,58.6417,-52.6906, 6.46,STAR A4V,0.16,,,,0.13
HR 1228,46Xi  Per,59.7412,35.7911, 4.04,STAR O7III,0.01,,-0.01,e,-0.92
HR 1229,,59.9167,38.8206, 6.38,STAR A1V,0.1,,,,0.13
HR 123,14Lam Cas,7.9433,54.5222, 4.73,STAR B8V,-0.1,,-0.12,,-0.35
HR 1230,,62.5117,80.6986, 5.10,STAR G8III,0.56,,,,0.3
HR 1231,34Gam Eri,59.5075,-13.5086, 2.95,STAR M0III,1.59,,1,e,1.96
HR 1232,,59.7179,-5.47, 5.83,STAR G9V,1,,,,0.85
HR 1233,,59.9196,10.3308, 6.37,STAR F5V,0.42,,0.22,,0
HR 1234,,60.3112,36.99, 6.41,STAR A0V,-0.01,,,,-0.07
HR 1235,,59.8754,-12.5742, 5.60,STAR K5III,1.48,,,,1.76
HR 1236,,59.0167,-63.4636, 6.14,STAR K1III,1.1,,,,1.02
HR 1237,,60.1538,17.2967, 6.32,STAR A0V,0.06,,,,0.01
HR 1238,,60.2033,18.1939, 5.89,STAR F4V,0.32,,0.17,,0.04
HR 1239,35Lam Tau,60.17,12.4903, 3.47,STAR B3V,-0.12,,-0.09,,-0.62
HR 124,,7.9217,52.8394, 5.60,STAR K2III,1.15,,,,1.13
HR 1240,36Tau9Eri,59.9813,-24.0164, 4.66,STAR B6V,-0.13,,-0.13,,-0.42
HR 1241,,61.5129,68.68, 5.87,STAR K2III,1.54,,,,
HR 1242,,61.1133,59.1556, 5.06,STAR F0II,0.5,,0.39,,0.49
HR 1243,,60.4421,9.9978, 5.67,STAR B5V,0.02,,,,-0.41
HR 1244,35    Eri,60.3833,-1.5497, 5.28,STAR B5V,-0.15,,,,-0.55
HR 1245,,59.6787,-57.1025, 6.05,STAR F2IV,0.44,,,,-0.01
HR 1246,,60.1696,-30.4908, 5.93,STAR A2V,0.04,,,,
HR 1247,Del Ret,59.6862,-61.4003, 4.56,STAR M2III,1.62,,1.03,,1.96
HR 1248,,61.6625,65.5208, 6.17,STAR A3,0.14,,0.06,,0.17
HR 1249,,60.6529,-0.2689, 5.38,STAR F5V,0.5,,,,0
HR 125,Lam1Phe,7.8542,-48.8036, 4.77,STAR A0V,0.02,,,,0.04
HR 1250,,60.0654,-51.5647, 6.51,STAR M1III,1.64,E,0.96,,1.95
HR 1251,38Nu  Tau,60.7892,5.9892, 3.91,STAR A1V,0.03,,0,,0.07
HR 1252,36    Tau,61.0904,24.1058, 5.47,STAR G0III,0.86,,,,
HR 1253,40    Tau,60.9358,5.4356, 5.33,STAR B3V,-0.08,,,,-0.57
HR 1254,,60.9858,8.1972, 5.46,STAR F2V,0.37,,0.21,,0
HR 1255,,61.6525,54.0086, 6.31,STAR K0III,0.99,,,,0.75
HR 1256,37    Tau,61.1738,22.0819, 4.36,STAR K0III,1.07,,0.53,,0.95
HR 1257,,61.0412,2.8269, 5.36,STAR F6IV,0.5,,,,0.04
HR 1258,,60.8529,-20.1442, 6.46,STAR B2V,-0.18,,,,-0.8
HR 1259,,60.9033,-20.1583, 7.01,STAR K2II,1.22,,,,
HR 126,Bet1Tuc,7.8863,-62.9581, 4.37,STAR B9V,-0.07,,-0.07,,-0.17
HR 1260,,61.9629,62.33, 6.99,STAR B0III,0.42,,,,-0.5
HR 1261,47Lam Per,61.6458,50.3514, 4.29,STAR A0IV,0.02,,0.02,,-0.04
HR 1262,39    Tau,61.3342,22.0089, 5.90,STAR G5V,0.62,,,,0.12
HR 1263,,61.0363,-16.5889, 6.39,STAR K2,1.26,,,,
HR 1264,Gam Ret,60.2242,-62.1594, 4.51,STAR M4III,1.65,,1.45,,1.81
HR 1265,,61.0946,-12.7925, 5.61,STAR,1.08,,,,0.97
HR 1266,Iot Ret,60.3258,-61.0789, 4.97,STAR K4III,1.42,,0.73,,1.7
HR 1267,,61.1708,-20.3817, 6.13,STAR K0,1.16,,,,
HR 1268,41    Tau,61.6517,27.6, 5.20,STAR B9,-0.13,,,v,-0.47
HR 1269,42Psi Tau,61.7521,29.0014, 5.23,STAR F1V,0.34,,,,-0.04
HR 127,Bet2Tuc,7.89,-62.9658, 4.54,STAR A2V,0.15,,0.08,,0.03
HR 1270,,62.365,59.9081, 6.28,STAR G8II,1.14,,,,0.92
HR 1271,,55.6338,-85.2622, 6.41,STAR B9IV,-0.01,,,,-0.1
HR 1272,,61.4854,-8.8561, 6.26,STAR A3V,0.06,,,,0.09
HR 1273,48    Per,62.1654,47.7125, 4.04,STAR B3V,-0.03,,-0.02,,-0.55
HR 1274,,61.4446,-20.5122, 6.34,STAR G5,0.92,,,,
HR 1275,,61.4058,-27.6517, 5.59,STAR F1IV,0.31,,,,0.05
HR 1276,,62.3433,54.8289, 6.18,STAR F5V,,,,,
HR 1277,49    Per,62.0638,37.7278, 6.09,STAR K1III,0.95,,,,0.75
HR 1278,50    Per,62.1525,38.0397, 5.51,STAR F7V,0.46,,,,-0.03
HR 1279,,61.925,15.1628, 6.01,STAR F3V,0.4,,0.21,,0.02
HR 128,,8.1117,43.4947, 6.70,STAR A1V,-0.01,,,,-0.2
HR 1280,,61.9975,17.3397, 5.89,STAR K5III,1.5,,,,
HR 1281,,63.4371,72.1264, 6.03,STAR K1III,1.01,,,,
HR 1282,,63.215,68.5017, 6.32,STAR K0,1.18,,,,
HR 1283,43Ome1Tau,62.2917,19.6092, 5.50,STAR K2III,1.07,,,,
HR 1284,,62.2567,13.3983, 5.95,STAR B9V,0.05,,,,-0.06
HR 1285,,61.8546,-42.9169, 6.59,STAR K0III,0.93,C,0.44,,0.61
HR 1286,,62.7458,33.5867, 5.72,STAR K1II,1.44,,0.79,,1.47
HR 1287,44    Tau,62.7079,26.4808, 5.41,STAR F2IV,0.34,,,,0.06
