name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color
HR 826,,41.6883,-21.6397, 6.49,STAR F3IV,0.38,,,,
HR 8260,39Eps Cap,324.27,-19.4661, 4.68,STAR B2V,-0.17,,-0.12,v,-0.65
HR 8261,,324.0579,30.0556, 6.36,STAR G8III,,,,,
HR 8262,,324.01,45.3747, 5.53,STAR M5III,1.58,,2.14,,1.24
HR 8263,,324.3908,-0.3903, 6.25,STAR A2V,0.06,,0.02,,0.05
HR 8264,23Xi  Aqr,324.4379,-7.8542, 4.69,STAR A7V,0.17,,0.1,,0.13
HR 8265,3    Peg,324.4321,6.6183, 6.18,STAR A2V,0.02,,,,0.02
HR 8266,74    Cyg,324.2375,40.4136, 5.01,STAR A5V,0.18,,,,0.1
HR 8267,5    Peg,324.4392,19.3186, 5.45,STAR F1IV,0.3,,,,0.14
HR 8268,,324.7754,-33.6792, 6.28,STAR G8IV,0.92,,,,
HR 8269,,324.9987,-52.3592, 6.21,STAR F7III,0.6,,,,0.32
HR 827,,41.7967,-22.4856, 6.47,STAR F2,0.39,,,,
HR 8270,4    Peg,324.6329,5.7717, 5.67,STAR A9IV,0.25,,,,0.08
HR 8271,,325.14,-55.7375, 6.33,STAR K0II,1.06,,,,
HR 8272,,324.3662,44.6967, 6.20,STAR A7III,0.19,,,,
HR 8273,,324.8671,-10.5769, 6.08,STAR K0,1.03,,,,0.89
HR 8274,,324.6875,25.4989, 6.16,STAR G9III,1.02,,,,0.82
HR 8275,,324.4113,54.0422, 6.15,STAR K1III,0.99,,,,0.74
HR 8276,,324.7546,20.2653, 5.85,STAR F2V,0.32,,,,0.03
HR 8277,25    Aqr,324.8888,2.2436, 5.10,STAR K0III,1.04,,0.52,,0.9
HR 8278,40Gam Cap,325.0229,-16.6622, 3.68,STAR F0,0.32,,0.14,,0.2
HR 8279,9    Cep,324.48,62.0819, 4.73,STAR B2I,0.3,,0.18,v,-0.53
HR 828,40    Ari,42.1338,18.2836, 5.82,STAR K1III,1.2,E,0.44,,1.13
HR 8280,Lam Oct,327.7263,-82.7192, 5.29,STAR G8III,0.75,,,,0.47
HR 8281,,324.74,57.4892, 5.62,STAR O6V,0.21,,,,-0.74
HR 8282,,325.4421,-25.1019, 6.49,STAR K0,1.19,,,,
HR 8283,42    Cap,325.3871,-14.0475, 5.18,STAR G1V,0.65,E,0.24,,0.2
HR 8284,75    Cyg,325.0463,43.2739, 5.11,STAR M1III,1.6,,,,1.9
HR 8285,41    Cap,325.5033,-23.2628, 5.24,STAR G9III,0.95,,,,0.75
HR 8286,,326.37,-71.0089, 6.01,STAR B8IV,-0.1,,,,-0.35
HR 8287,26    Aqr,325.5421,1.2853, 5.67,STAR K2III,1.44,,,,1.67
HR 8288,43Kap Cap,325.6646,-18.8664, 4.73,STAR G8III,0.88,,0.49,,0.52
HR 8289,7    Peg,325.5646,5.68, 5.30,STAR M2III,1.64,,,,1.95
HR 829,,42.9946,68.8886, 5.80,STAR F5I,0.64,,,,0.48
HR 8290,,325.1804,54.8722, 6.20,STAR K0III,1.16,,,,0.96
HR 8291,76    Cyg,325.3929,40.8053, 6.11,STAR A2V,0.07,,0.05,,0.07
HR 8292,,325.6375,10.8247, 6.09,STAR B5IV,-0.11,,,,-0.51
HR 8293,,325.8062,-19.6208, 6.22,STAR A3,0.27,,0.12,,0.15
HR 8294,,341.3692,-88.8183, 6.57,STAR F0IV,0.28,,,,0.13
HR 8295,44    Cap,325.7683,-14.3997, 5.88,STAR F0IV,0.25,,,,
HR 8296,NOVA 1876,325.4325,42.84111,,CV CLASSICAL NOVA,,,,,
HR 8297,,325.5046,35.5103, 6.07,STAR,2.52,,1.4,,4.76
HR 8298,,325.535,45.7658, 6.17,STAR M4III,1.55,,,,
HR 8299,,326.1229,-38.5525, 6.30,STAR G5III,1.12,,,,0.93
HR 83,Pi  Tuc,5.1625,-69.625, 5.51,STAR B9V,-0.05,,,,-0.14
HR 830,,42.1912,25.1881, 5.86,STAR A0V,-0.07,,,,-0.08
HR 8300,77    Cyg,325.5954,41.0772, 5.69,STAR A0V,0.01,,,,-0.01
HR 8301,80Pi 1Cyg,325.5237,51.1897, 4.67,STAR B3IV,-0.12,,-0.13,,-0.68
HR 8302,45    Cap,326.0042,-14.7494, 5.99,STAR F0V,0.21,,0.12,,0.07
HR 8303,,326.3292,-49.4986, 6.45,STAR K1III,1.15,,,,
HR 8304,,325.6621,49.6003, 6.09,STAR G8II,1,,,,0.74
HR 8305,9Iot PsA,326.2367,-33.0258, 4.34,STAR A0V,-0.05,,-0.03,,-0.11
HR 8306,,325.7767,41.155, 5.49,STAR M2III,1.59,,,,1.96
HR 8307,79    Cyg,325.8571,38.2839, 5.65,STAR A0V,0,,,,-0.02
HR 8308,8Eps Peg,326.0467,9.875, 2.39,STAR K2I,1.53,,0.76,e,1.7
HR 8309,78Mu 1Cyg,326.0358,28.7428, 4.73,STAR F6V,0.48,,0.28,,0.01
HR 831,,42.3629,37.3261, 6.45,STAR F6III,0.43,,,,0.14
HR 8310,78Mu 2Cyg,326.0346,28.7431, 6.08,STAR G2V,0.36,,,,
HR 8311,46    Cap,326.2513,-9.0825, 5.09,STAR G8II,1.11,,0.53,,0.95
HR 8312,,325.6892,59.2711, 6.08,STAR K1III,1.34,,,,
HR 8313,9    Peg,326.1279,17.35, 4.34,STAR G5I,1.17,,0.55,,1
HR 8314,,326.1304,14.7719, 5.94,STAR G0V,0.59,,,v,0.04
HR 8315,10Kap Peg,326.1613,25.645, 4.13,STAR F5IV,0.43,,0.25,,0.03
HR 8316,Mu  Cep,325.8767,58.78, 4.08,STAR M2I,2.35,,1.76,e,2.42
HR 8317,11    Cep,325.4804,71.3114, 4.56,STAR K1III,1.1,,0.54,,1.1
HR 8318,47    Cap,326.5679,-9.2758, 6.00,STAR M3III,1.66,E,1.03,,1.87
HR 8319,48Lam Cap,326.6338,-11.3658, 5.58,STAR A1V,-0.01,,,,-0.05
HR 832,,41.9833,-12.4606, 6.90,STAR M4III,1.56,E,1.39,v,1.37
HR 8320,,326.4354,35.8572, 6.40,STAR G8III,1,,,,0.71
HR 8321,12    Peg,326.5183,22.9489, 5.29,STAR K0I,1.41,,,e,1.33
HR 8322,49Del Cap,326.76,-16.1272, 2.87,STAR A0,0.29,,0.17,v,0.09
HR 8323,,327.0658,-47.3036, 5.58,STAR G0V,0.6,,,,0.08
HR 8324,,325.7667,72.3203, 5.17,STAR K0III,1.05,,,,0.97
HR 8325,,326.6,25.5633, 6.28,STAR K3III,1.21,,,,1.25
HR 8326,10The PsA,326.9342,-30.8983, 5.01,STAR A2V,0.04,,,,0.05
HR 8327,,326.2221,62.4606, 5.95,STAR O9I,0.31,,0.17,e,-0.64
HR 8328,11    Peg,326.8083,2.6861, 5.64,STAR A1V,0,,,,-0.01
HR 8329,,326.5692,43.0608, 6.54,STAR G0III,0.28,,,,0.13
HR 833,Gam Hor,41.3646,-63.7044, 5.74,STAR G8III,0.93,,,,0.63
HR 8330,,326.7696,17.1942, 6.21,STAR F3V,0.34,,,,0.01
HR 8331,,327.5004,-64.7125, 5.62,STAR K0III,1.02,,,,0.83
HR 8332,,326.9088,-5.9172, 6.17,STAR A7V,0.22,,,,0.05
HR 8333,Omi Ind,327.6963,-69.6294, 5.53,STAR K2III,1.37,,,,1.63
HR 8334,10Nu  Cep,326.3621,61.1208, 4.29,STAR A2I,0.52,,0.44,,0.13
HR 8335,81Pi 2Cyg,326.6983,49.3094, 4.23,STAR B3III,-0.12,,-0.12,,-0.71
HR 8336,,327.0346,36.5806, 6.47,STAR K5,,,,,
HR 8337,,327.4213,-12.7231, 6.31,STAR A3,0.22,,,,
HR 8338,,327.1225,38.6486, 6.12,STAR B8V,-0.08,,,,-0.34
HR 8339,12    Cep,326.8554,60.6928, 5.52,STAR M1III,1.52,,,,1.93
HR 834,15Eta Per,42.6742,55.8956, 3.76,STAR K3I,1.68,,0.89,e,1.89
HR 8340,,327.5546,-16.8447, 6.38,STAR K0,1.42,,,,
HR 8341,,327.3621,20.4625, 6.29,STAR B2V,-0.1,,,,-0.64
HR 8342,,326.7542,70.1508, 6.29,STAR A0V,,,,,
HR 8343,14    Peg,327.4612,30.1742, 5.04,STAR A1V,-0.03,,,,0.03
HR 8344,13    Peg,327.5363,17.2856, 5.29,STAR F2III,0.37,,0.18,,0.03
HR 8345,,327.4171,41.1489, 6.48,STAR A2I,0.42,,,,0.07
HR 8346,,327.9242,-18.6231, 6.16,STAR F0III,0.36,,,,0.06
HR 8347,,327.3292,61.2728, 6.17,STAR M1II,1.67,,,,2.03
HR 8348,,327.8925,19.8267, 5.77,STAR B8III,-0.1,,,,-0.4
HR 8349,,327.7704,39.5367, 6.17,STAR B9,-0.08,,,,-0.42
HR 835,Eta1For,41.8904,-35.5508, 6.51,STAR K0III,0.96,,,,
HR 8350,,328.0758,21.2731, 6.89,STAR M4III,,,,,
HR 8351,51Mu  Cap,328.3242,-13.5517, 5.08,STAR F1III,0.37,,,,-0.01
HR 8352,,328.7979,-61.8864, 5.90,STAR F1III,0.39,,,,
HR 8353,Gam Gru,328.4821,-37.365, 3.01,STAR B8III,-0.12,,-0.06,,-0.37
HR 8354,15    Peg,328.1246,28.7933, 5.53,STAR F6IV,0.42,,,,-0.13
HR 8355,,328.4,-10.3117, 6.59,STAR B9V,-0.12,,,,
HR 8356,16    Peg,328.2658,25.925, 5.08,STAR B3V,-0.17,,,,-0.67
HR 8357,,328.0042,55.7969, 5.71,STAR B6IV,-0.13,,,,-0.46
HR 8358,,328.4058,19.6683, 5.68,STAR A0V,0.01,,,,0.01
HR 8359,,328.4908,6.8644, 6.15,STAR G0III,0.8,,,,0.27
HR 836,42Pi  Ari,42.3229,17.4642, 5.22,STAR B6V,-0.06,,,,-0.47
HR 8360,,328.5433,-4.2761, 5.71,STAR K2III,1.18,,,,1.27
HR 8361,,327.9054,65.7528, 6.37,STAR A1,,,,,
HR 8362,Pi  Ind,329.0583,-57.8994, 6.19,STAR A0,0.21,,,,0.15
HR 8363,,328.6496,-3.3011, 6.20,STAR F5IV,0.48,,,,0.07
HR 8364,,328.5725,19.7183, 6.39,STAR K0III,0.97,,,,0.68
HR 8365,,328.9817,-30.6064, 6.41,STAR G8III,0.93,,,,
HR 8366,,329.095,-37.2536, 5.46,STAR A2V,0.08,,,,
HR 8367,,329.2592,-37.7469, 6.18,STAR F1III,0.33,,,,
HR 8368,Del Ind,329.4796,-54.9925, 4.40,STAR F0IV,0.28,,,,0.1
HR 8369,Kap1Ind,329.6254,-59.0122, 6.12,STAR F3V,0.46,,,,-0.02
HR 837,Zet Hyi,41.3858,-67.6167, 4.84,STAR A2IV,0.06,,0.07,,0.09
HR 8370,,330.4671,-77.6625, 6.41,STAR A5IV,0.22,,,,0.08
HR 8371,13    Cep,328.7217,56.6114, 5.80,STAR B8I,0.73,,0.6,v,-0.02
HR 8372,,329.1,21.2397, 6.40,STAR K5V,1.7,,,,2.03
HR 8373,17    Peg,329.235,12.0764, 5.54,STAR A2V,0.05,,,,0.03
HR 8374,,328.8362,61.5419, 6.13,STAR G8I,1.6,,,,1.62
HR 8375,,328.8796,65.3208, 5.86,STAR B2V,-0.06,,,,-0.75
HR 8376,,329.5554,-5.4247, 6.33,STAR F5IV,0.37,,,,-0.03
HR 8377,,329.2592,48.6686, 6.42,STAR B8V,-0.08,,,,-0.37
HR 8378,,329.6825,-21.1828, 6.12,STAR M4III,1.65,,,,1.83
HR 8379,,329.8246,-38.3953, 5.50,STAR K0III,1,,,,
HR 838,41    Ari,42.4958,27.2606, 3.63,STAR B8V,-0.1,,-0.11,,-0.37
HR 8380,,330.7658,-76.1186, 5.95,STAR F3III,0.39,,,,0.11
HR 8381,,330.1004,-55.8828, 6.01,STAR B9IV,-0.1,,,,-0.12
HR 8382,,329.7292,-4.3731, 6.22,STAR K2V,1,E,0.35,,0.87
HR 8383,,329.1629,63.6256, 4.91,STAR M2I,1.77,,1.4,v,0.39
HR 8384,,329.2963,66.1561, 6.43,STAR B2V,-0.05,,,,-0.68
HR 8385,18    Peg,330.0329,6.7175, 6.00,STAR B3III,-0.12,,,,-0.57
HR 8386,12Eta PsA,330.2092,-28.4536, 5.42,STAR B8V,-0.09,,-0.07,e,-0.37
HR 8387,Eps Ind,330.84,-56.7861, 4.69,STAR K4V,1.06,,0.55,,0.99
HR 8388,,329.7225,62.6983, 5.93,STAR M3III,1.67,,,,1.81
HR 8389,,329.8458,57.6583, 6.59,STAR A0III,0.03,,,,-0.01
HR 839,,42.9396,58.3147, 6.45,STAR A1,0.1,,0.03,,0.08
HR 8390,28    Aqr,330.2708,0.605, 5.58,STAR,1.28,,,,1.4
HR 8391,,330.1117,33.0061, 6.46,STAR F5III,,,,,
HR 8392,20    Peg,330.2725,13.1197, 5.60,STAR F4III,0.34,,,,0.05
HR 8393,19    Peg,330.2883,8.2572, 5.65,STAR,1.44,,,,1.77
HR 8394,,330.5496,-17.9036, 6.28,STAR,1.01,,,,
HR 8395,,329.4625,74.9967, 6.35,STAR K5,1.56,,,,1.61
HR 8396,29    Aqr,330.6108,-16.9642, 6.37,STAR A2V,0.42,,,,
HR 8397,,330.5058,10.9739, 6.37,STAR B5III,-0.1,,,,-0.61
HR 8398,,330.8217,-29.9042, 7.10,STAR F0III,0.32,,,,
HR 8399,,330.1638,62.4881, 6.66,STAR B0IV,0.06,,,,-0.82
HR 84,Iot Scl,5.38,-28.9817, 5.18,STAR G5III,1,,,,0.82
HR 840,16    Per,42.6463,38.3186, 4.23,STAR F2III,0.34,,0.23,,0.08
HR 8400,16    Cep,329.8125,73.18, 5.03,STAR F5V,0.44,,,,-0.03
HR 8401,30    Aqr,330.8183,-6.5225, 5.54,STAR K0III,0.96,,,,0.73
HR 8402,31Omi Aqr,330.8287,-2.1553, 4.69,STAR B7IV,-0.06,,-0.05,,-0.41
HR 8403,,330.4608,52.8822, 5.78,STAR B5III,-0.11,,,,-0.5
HR 8404,21    Peg,330.8292,11.3864, 5.80,STAR B9V,-0.07,,,,-0.2
HR 8405,13    PsA,331.0996,-29.9167, 6.47,STAR K5III,1.63,,,,1.93
HR 8406,14    Cep,330.5192,58.0006, 5.56,STAR O9V,0.06,,,,-0.86
HR 8407,,330.7362,44.65, 5.60,STAR A0IV,-0.03,,-0.01,,-0.1
HR 8408,,331.1533,-26.8225, 5.96,STAR B4IV,-0.14,,-0.15,v,-0.66
HR 8409,Kap2Ind,331.4621,-59.6361, 5.62,STAR K4III,1.46,E,0.56,,1.81
HR 841,Bet For,42.2725,-32.4058, 4.46,STAR K0III,0.99,,0.54,,0.69
HR 8410,32    Aqr,331.1975,-0.9067, 5.30,STAR A5,0.23,,0.11,v,0.15
HR 8411,Lam Gru,331.5287,-39.5433, 4.46,STAR K3III,1.37,,0.78,,1.66
HR 8412,,331.1433,32.9419, 6.38,STAR G5I,1.1,,,,0.8
HR 8413,22Nu  Peg,331.42,5.0586, 4.84,STAR K4III,1.44,,0.76,,1.81
HR 8414,34Alp Aqr,331.4458,-0.3197, 2.96,STAR G2I,0.98,,0.49,v,0.74
HR 8415,,331.2975,26.6739, 5.78,STAR K2III,1.25,,,,
HR 8416,18    Cep,330.9704,63.1197, 5.29,STAR M5III,1.58,E,1.26,,1.79
HR 8417,17Xi  Cep,330.9475,64.6278, 4.29,STAR A3V,0.34,,0.13,,0.09
HR 8418,33Iot Aqr,331.6092,-13.8697, 4.27,STAR B9IV,-0.07,,-0.09,,-0.29
HR 8419,23    Peg,331.3946,28.9639, 5.70,STAR B9V,-0.06,,,,-0.21
HR 842,,42.9238,46.8419, 5.88,STAR G8III,0.89,,,,0.58
HR 8420,,332.6771,-75.8806, 6.55,STAR K2III,1.18,,,,1.3
HR 8421,,331.3183,46.7447, 6.13,STAR M4III,1.61,,1.56,,1.76
HR 8422,,331.4608,45.1122, 6.44,STAR A0V,-0.03,,,,-0.14
HR 8423,,329.5529,82.8697, 6.98,STAR F6IV,0.52,,,,-0.02
HR 8424,,331.5083,45.0144, 5.14,STAR K5III,1.57,,0.92,,1.94
HR 8425,Alp Gru,332.0583,-46.9611, 1.74,STAR B7IV,-0.13,,-0.09,e,-0.47
HR 8426,20    Cep,331.2521,62.7856, 5.27,STAR K4III,1.41,,,,1.78
HR 8427,,331.4633,48.2317, 6.27,STAR B2V,-0.06,,,,-0.71
HR 8428,19    Cep,331.2871,62.28, 5.11,STAR O9I,0.08,,0.03,,-0.84
HR 8429,,331.5517,45.2486, 6.19,STAR A3V,0.09,,,,0.14
HR 843,17    Per,42.8783,35.0597, 4.53,STAR K5III,1.56,,0.95,,1.92
HR 8430,24Iot Peg,331.7529,25.345, 3.76,STAR F5V,0.44,,0.25,,-0.04
HR 8431,14Mu  PsA,332.0958,-32.9886, 4.50,STAR A2V,0.05,,0.05,,0.05
HR 8432,,332.9804,-76.1161, 6.15,STAR K0III,1,,,,0.82
HR 8433,Ups PsA,332.1083,-34.0439, 4.99,STAR M1III,1.48,E,0.6,,1.81
HR 8434,,331.5562,56.3431, 6.39,STAR A0III,-0.1,,,,-0.45
HR 8435,,331.8692,19.4756, 5.75,STAR,,,,,
HR 8436,,331.875,18.0006, 6.35,STAR M1,1.64,,,,
HR 8437,,332.1779,-33.1256, 6.37,STAR A2III,0.2,,,,
HR 8438,25    Peg,331.9596,21.7028, 5.78,STAR B7V,-0.1,,,v,-0.41
HR 8439,35    Aqr,332.2458,-18.5197, 5.81,STAR B2IV,-0.17,,,,
HR 844,Gam1For,42.4625,-24.5603, 6.14,STAR K1III,1.07,,,,
HR 8440,,332.4917,-48.1072, 6.43,STAR K3III,1.39,,,,
HR 8441,,332.0717,25.5436, 6.11,STAR F1IV,0.27,,,,0.12
HR 8442,,331.79,58.8408, 6.32,STAR G6III,0.88,,,,0.63
HR 8443,,331.8563,53.3072, 6.14,STAR A3I,0.43,,,,0.24
HR 8444,,332.4821,-34.0147, 5.37,STAR A5V,0.24,,,,
HR 8445,,332.0688,49.7964, 6.42,STAR K5III,,,,,
HR 8446,,332.5004,-28.2925, 6.44,STAR A5V,0.15,,,,
HR 8447,15Tau PsA,332.5367,-32.5483, 4.92,STAR F6V,0.48,,,,0.01
HR 8448,,332.1708,45.7419, 6.11,STAR G2IV,0.72,E,0.33,,0.26
HR 8449,27Pi 1Peg,332.3067,33.1722, 5.58,STAR G8III,1,,,,0.77
HR 845,Gam2For,42.4758,-27.9417, 5.39,STAR A0V,0.02,,,,
HR 8450,26The Peg,332.55,6.1978, 3.53,STAR A2V,0.08,,0.04,,0.1
HR 8451,,332.5879,-3.8942, 6.27,STAR A1V,-0.01,,,,-0.07
HR 8452,38    Aqr,332.6562,-11.565, 5.46,STAR B7III,-0.12,,,,
HR 8453,,332.6408,-4.2672, 6.01,STAR K0III,0.98,,,,0.83
HR 8454,29Pi 2Peg,332.4967,33.1783, 4.29,STAR F5III,0.46,,0.27,,0.18
HR 8455,,332.5792,19.6169, 6.18,STAR G0V,0.69,,,,0.17
HR 8456,,332.5925,14.63, 6.33,STAR K0III,1.08,,,,0.94
HR 8457,,332.76,-21.2325, 6.09,STAR F6V,0.5,,,,
HR 8458,,332.6558,11.6244, 5.78,STAR M1III,1.58,,,,1.94
HR 8459,28    Peg,332.6258,20.9781, 6.46,STAR A3III,0.12,,,,0.11
HR 846,,43.2167,52.9978, 6.36,STAR B8III,0.07,,,,-0.27
HR 8460,,332.715,30.5531, 6.32,STAR A8IV,0.18,,,,0.16
HR 8461,,332.9637,16.0406, 5.95,STAR K1III,0.95,,0.49,,0.73
HR 8462,39    Aqr,333.1075,-14.1939, 6.03,STAR F2V,0.38,,,,0
HR 8463,,332.7913,50.8233, 5.40,STAR A5V,0.15,,,,0.05
HR 8464,,333.2396,-26.3278, 6.17,STAR A3V,0.17,,,,
HR 8465,21Zet Cep,332.7137,58.2011, 3.35,STAR K1I,1.57,,0.78,,1.71
HR 8466,,333.0333,24.95, 5.92,STAR K0,1.51,,,,
HR 8467,,333.1825,-4.7208, 6.39,STAR F7V,0.5,,,,0.06
HR 8468,24    Cep,332.4517,72.3411, 4.79,STAR G7II,0.92,,0.48,,0.61
HR 8469,22Lam Cep,332.8779,59.4144, 5.04,STAR O6I,0.25,,0.15,,-0.74
HR 847,43Sig Ari,42.8733,15.0819, 5.49,STAR B7V,-0.09,,,,-0.43
HR 8470,,333.435,-25.1808, 5.58,STAR F6III,0.49,,,,0.22
HR 8471,Psi Oct,334.4604,-77.5117, 5.51,STAR F3III,0.31,,,,0.12
HR 8472,,332.9533,56.8394, 5.24,STAR F8V,0.51,,,,0.06
HR 8473,,332.5638,72.1111, 6.37,STAR B9,-0.06,,-0.07,,-0.18
HR 8474,,332.6621,70.1328, 5.50,STAR F2V,0.38,,,,-0.04
HR 8475,,333.1992,34.6047, 5.33,STAR K2III,1.13,,,,1.13
HR 8476,,332.9871,59.0847, 6.30,STAR K0III,1.13,,,,1.07
HR 8477,,333.6608,-41.3817, 6.23,STAR G5V,0.65,,,,0.14
HR 8478,16Lam PsA,333.5783,-27.7669, 5.43,STAR B8III,-0.16,,,,-0.55
HR 8479,,333.0079,60.7594, 5.35,STAR K1III,1.17,,,,1.15
HR 848,Eta2For,42.5617,-35.8436, 5.92,STAR K0III,0.9,,,,0.62
HR 8480,41    Aqr,333.575,-21.0742, 5.32,STAR K0III,0.8,,,,0.43
HR 8481,Eps Oct,335.0063,-80.4397, 5.10,STAR M5III,1.47,E,1.49,,1.09
HR 8482,,333.4108,28.6083, 5.89,STAR K2III,1.15,,,,1.22
HR 8483,,333.0929,63.2914, 5.79,STAR M3III,1.67,,,,1.93
HR 8484,,333.8962,-44.4519, 6.10,STAR G8III,1.02,C,0.46,,0.81
HR 8485,,333.4696,39.715, 4.49,STAR K3III,1.39,,0.74,,1.45
HR 8486,Mu 1Gru,333.9037,-41.3467, 4.79,STAR G8III,0.8,,,,0.47
HR 8487,,333.4554,45.4408, 5.53,STAR A0III,0.04,,,,0
HR 8488,Mu 2Gru,334.1108,-41.6275, 5.10,STAR G8III,0.92,,,,
HR 8489,,333.685,42.9539, 5.71,STAR A2V,0,,,,-0.04
HR 849,,43.3383,48.5694, 6.26,STAR G5I,1.18,,,,0.94
HR 8490,,333.4562,63.1625, 6.11,STAR B8V,-0.08,,,,-0.43
HR 8491,,333.9992,8.5494, 6.21,STAR A1V,0.02,,,,-0.04
HR 8492,,334.1558,-25.8983, 6.15,STAR K1II,1.11,,,,
HR 8493,,333.2204,73.3072, 6.08,STAR K0II,1.01,,,,0.85
HR 8494,23Eps Cep,333.7583,57.0436, 4.19,STAR F0IV,0.28,,0.15,,0.04
HR 8495,,334.14,-1.5964, 6.15,STAR A5V,0.19,,,,0.09
HR 8496,42    Aqr,334.2004,-12.8314, 5.34,STAR,1.14,,,,1.07
HR 8497,,334.2492,-23.14, 6.17,STAR G5,1.05,,,,
HR 8498,1    Lac,333.9925,37.7489, 4.13,STAR K3II,1.46,,0.72,,1.63
HR 8499,43The Aqr,334.2083,-7.7833, 4.16,STAR G8III,0.98,,0.48,,0.81
HR 85,,5.4429,-20.0578, 5.12,STAR M5II,1.82,,,,1.78
HR 850,2Tau2Eri,42.7596,-21.0042, 4.75,STAR K0III,0.91,,0.47,,0.63
HR 8500,,334.2192,-9.04, 5.79,STAR,1.16,,,,1.14
HR 8501,,334.565,-53.6278, 5.37,STAR G3V,0.6,,,,0.08
HR 8502,Alp Tuc,334.6254,-60.2597, 2.86,STAR K3III,1.39,,0.73,,1.54
HR 8503,,334.1237,27.8042, 6.37,STAR G9III,0.99,,,,
HR 8504,44    Aqr,334.2771,-5.3872, 5.75,STAR G6III,0.88,,,,0.51
HR 8505,Ups Oct,337.9058,-85.9672, 5.77,STAR K0III,1.02,,,,0.88
HR 8506,,334.1104,57.2203, 5.88,STAR G8III,0.93,,,,
HR 8507,,334.5179,-0.2378, 6.39,STAR F3V,0.44,,,,0
HR 8508,45    Aqr,334.7533,-13.305, 5.95,STAR,1.06,,,,0.94
HR 8509,,335.1508,-57.51, 6.34,STAR K3III,1.37,,,,1.71
HR 851,Eta3For,42.6683,-35.6761, 5.47,STAR K5III,1.25,E,0.49,,1.31
HR 8510,,334.7342,37.7694, 6.17,STAR A9III,0.28,,,,0.11
HR 8511,25    Cep,334.5529,62.8044, 5.75,STAR K3III,1.26,,,,1.37
HR 8512,46Rho Aqr,335.0496,-7.8211, 5.37,STAR B8III,-0.06,,,,-0.37
HR 8513,30    Peg,335.115,5.7894, 5.37,STAR B5IV,-0.02,,,,-0.47
HR 8514,,335.2325,8.1867, 6.17,STAR F6V,0.44,,,,-0.03
HR 8515,Nu  Ind,336.1533,-72.2556, 5.29,STAR A3V,0.65,E,0.41,,-0.06
HR 8516,47    Aqr,335.3983,-21.5983, 5.13,STAR K2III,1.07,,,,0.92
HR 8517,,335.2504,26.9353, 6.47,STAR M4III,1.59,,,,1.71
HR 8518,48Gam Aqr,335.4142,-1.3872, 3.84,STAR A0V,-0.05,,-0.04,,-0.12
HR 8519,,335.165,50.9808, 6.42,STAR K2,,,,,
HR 852,Nu  Hor,42.2562,-62.8067, 5.26,STAR A2V,0.1,,,,0.06
HR 8520,31    Peg,335.3796,12.2053, 5.01,STAR B2IV,-0.13,,-0.14,v,-0.81
HR 8521,Pi 1Gru,335.6829,-45.9478, 6.62,STAR,2.01,,2.64,,1.86
HR 8522,32    Peg,335.3304,28.3306, 4.81,STAR B9III,0,,-0.01,,-0.2
HR 8523,2    Lac,335.2567,46.5367, 4.57,STAR B6V,-0.1,,-0.11,,-0.51
HR 8524,Pi 2Gru,335.7833,-45.9286, 5.62,STAR F3III,0.36,C,0.22,,0.02
HR 8525,,334.585,76.4881, 6.66,STAR A1V,0,,,,-0.11
HR 8526,,336.4625,-75.0156, 6.04,STAR G3V,0.64,,,,0.14
HR 8527,,336.2938,-70.4317, 5.78,STAR F3III,0.38,,,,0.03
HR 8528,,335.4621,42.0783, 6.41,STAR B5V,-0.08,,,,-0.51
HR 8529,49    Aqr,335.8788,-24.7625, 5.53,STAR,0.99,,,,0.8
HR 853,,42.6996,-39.9317, 6.36,STAR A0V,0.05,,,,
HR 8530,,335.8838,-7.1944, 5.93,STAR G6III,1,,,,0.69
HR 8531,,336.235,-57.7972, 5.32,STAR G3IV,0.67,,0.39,,0.13
HR 8532,33    Peg,335.915,20.8483, 6.04,STAR F7V,,,,,
HR 8533,51    Aqr,336.0287,-4.8369, 5.78,STAR A0V,-0.04,,,,-0.11
HR 8534,50    Aqr,336.1129,-13.5294, 5.76,STAR G6III,0.97,,,,0.71
HR 8535,,335.7508,57.2844, 6.16,STAR B8III,-0.13,,,,-0.55
HR 8536,,335.9758,38.5736, 6.22,STAR F5IV,0.49,,,,-0.01
HR 8537,,335.7508,62.42, 6.04,STAR A1V,0.05,,,,0.02
HR 8538,3Bet Lac,335.89,52.2292, 4.43,STAR G8III,1.02,,0.57,,0.77
HR 8539,52Pi  Aqr,336.3192,1.3775, 4.66,STAR B1V,-0.03,,0.02,v,-0.98
HR 854,18Tau Per,43.5646,52.7625, 3.95,STAR G4III,0.74,,0.44,,0.46
HR 8540,Del Tuc,336.8333,-64.9664, 4.48,STAR B9V,-0.03,,,,-0.07
HR 8541,4    Lac,336.1292,49.4764, 4.57,STAR B9I,0.09,,0.1,,-0.34
HR 8542,,336.5446,-23.6825, 6.29,STAR A0V,-0.03,,,,
HR 8543,,336.4196,18.4444, 6.26,STAR K0,1.22,,,,
HR 8544,53    Aqr,336.6425,-16.7414, 6.57,STAR G2V,,,,,
HR 8545,53    Aqr,336.6433,-16.7425, 6.35,STAR G1V,0.61,,,,0.09
HR 8546,,333.2942,86.1081, 5.27,STAR B9V,-0.03,,,,-0.11
